toi,tid,tfopwg_disp,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim
1144.01,28230919,KP,4.8878037,0.0000009,-0.0000009,0
1145.01,350995812,FP,2.9716400,0.0003400,-0.0003400,0
1146.01,21755546,FP,0.6601790,0.0000415,-0.0000415,0
1147.01,288391628,FP,10.9278415,0.0000602,-0.0000602,0
1148.01,349827430,KP,5.5514888,0.0000027,-0.0000027,0
1149.01,117789567,APC,2.3202418,0.0000614,-0.0000614,0
115.01,281541555,KP,4.7423709,0.0000031,-0.0000031,0
1150.01,16740101,KP,1.4810903,0.0000004,-0.0000004,0
1151.01,69679391,KP,3.4741012,0.0000002,-0.0000002,0
1152.01,237184773,FA,6.5011911,0.0000781,-0.0000781,0
1153.01,154840461,APC,6.0360758,0.0000036,-0.0000036,0
1154.01,459970307,PC,21.7455370,0.0000496,-0.0000496,0
1155.01,161450762,FP,1.3200300,0.0003700,-0.0003700,0
1156.01,117256577,FP,1.6865822,0.0000048,-0.0000048,0
1157.01,147576037,FP,13.0727479,0.0000184,-0.0000184,0
1158.01,379931600,FP,2.9258727,0.0000651,-0.0000651,0
1159.01,48188920,FP,0.7377400,0.0002000,-0.0002000,0
116.01,238176110,KP,2.7985802,0.0000003,-0.0000003,0
1160.01,89510024,FP,2.3664127,0.0000748,-0.0000748,0
1161.01,158324245,KP,1.7635881,0.0000005,-0.0000005,0
1162.01,13419950,PC,7.3166682,0.0000063,-0.0000063,0
1163.01,375542276,PC,3.0771612,0.0000013,-0.0000013,0
1164.01,16102323,FP,3.2077145,0.0000160,-0.0000160,0
1165.01,458478250,KP,2.2552845,0.0000019,-0.0000019,0
1166.01,138361973,FP,1.8824539,0.0000043,-0.0000043,0
1167.01,232967666,FP,15.1960000,,,0
1168.01,41330864,FP,2.1358631,0.0000035,-0.0000035,0
1169.01,302518439,PC,6.7075429,0.0000034,-0.0000034,0
117.01,322307342,KP,3.5862962,0.0001530,-0.0001530,0
1170.01,294176967,FP,1.8296155,0.0000030,-0.0000030,0
1171.01,101929303,FP,11.1876137,0.0000228,-0.0000228,0
1172.01,1717732429,FP,7.8513949,0.0000269,-0.0000269,0
1173.01,232967440,CP,7.0643978,0.0000019,-0.0000019,0
1174.01,154089169,CP,8.9534775,0.0000218,-0.0000218,0
1175.01,30329585,FP,7.5022708,0.0000368,-0.0000368,0
1176.01,230088370,PC,14.0077666,0.0000051,-0.0000051,0
1177.01,169177766,FP,1.6928920,0.0000032,-0.0000032,0
1178.01,359496368,FP,2.6652007,0.0000032,-0.0000032,0
1179.01,148914726,APC,1.2615323,0.0000004,-0.0000004,0
118.01,266980320,CP,6.0344667,0.0000059,-0.0000059,0
1180.01,158002130,CP,9.6867516,0.0000103,-0.0000103,0
1181.01,229510866,CP,2.1031647,0.0000135,-0.0000135,0
1182.01,341544930,FP,7.6416041,0.0000075,-0.0000075,0
1183.01,258777137,FP,5.9294088,0.0000006,-0.0000006,0
1184.01,233087860,CP,5.7484439,0.0000039,-0.0000039,0
1185.01,83210867,FP,1.1967018,0.0000023,-0.0000023,0
1186.01,289539327,FP,11.2464616,0.0000157,-0.0000157,0
1187.01,372757221,PC,2.5941968,0.0000036,-0.0000036,0
1188.01,15247229,FP,8.5112000,0.0013800,-0.0013800,0
1189.01,112026224,PC,3.9687994,0.0000134,-0.0000134,0
119.01,278683844,PC,5.5411114,0.0000046,-0.0000046,0
119.02,278683844,PC,10.6917268,0.0000212,-0.0000212,0
1190.01,287196418,APC,3.6950015,0.0000138,-0.0000138,0
1191.01,237185205,FP,15.7335693,0.0000512,-0.0000512,0
1192.01,158276040,APC,45.9403293,0.0000270,-0.0000270,0
1193.01,89643259,FP,2.2219839,0.0000036,-0.0000036,0
1194.01,147950620,CP,2.3106428,0.0000009,-0.0000009,0
1195.01,24364065,FP,4.0513500,0.0023800,-0.0023800,0
1196.01,69068526,PC,5.5376617,0.0000095,-0.0000095,0
1197.01,92677094,PC,4.5960377,0.0000093,-0.0000093,0
1198.01,203189770,KP,3.6127710,0.0000024,-0.0000024,0
1199.01,99869022,CP,3.6714717,0.0000165,-0.0000165,0
120.01,394137592,CP,11.5350760,0.0010350,-0.0010350,0
1200.01,288185138,FP,0.8352406,0.0000016,-0.0000016,0
1201.01,29960110,CP,2.4919771,0.0000071,-0.0000071,0
1202.01,327017634,FP,,,,0
1203.01,23434737,CP,25.5195307,0.0039688,-0.0039688,0
1204.01,467666275,PC,1.3812115,0.0000080,-0.0000080,0
1205.01,287776397,PC,2.3922703,0.0000256,-0.0000256,0
1206.01,308034948,FP,0.8315420,0.0000390,-0.0000390,0
1207.01,364393429,PC,2.6282553,0.0000111,-0.0000111,0
1208.01,273985865,PC,3.4239436,0.0000100,-0.0000100,0
1208.02,273985865,PC,10.9830420,0.0000298,-0.0000298,0
1208.03,273985865,PC,17.7264490,0.0001095,-0.0001095,0
1209.01,30037565,PC,40.7199388,0.0001273,-0.0001273,0
121.01,207081058,APC,14.7741056,0.0005679,-0.0005679,0
1210.01,33878688,FP,79.3739596,0.0022619,-0.0022619,0
1211.01,50312495,PC,18.1663644,0.0000712,-0.0000712,0
1212.01,389924075,PC,105.5850893,0.0215233,-0.0215233,0
1213.01,399144800,FP,27.2149622,0.0000426,-0.0000426,0
1214.01,451606970,PC,19.1807264,0.0000851,-0.0000851,0
1215.01,453260209,PC,1.2124493,0.0000072,-0.0000072,0
1216.01,141527965,PC,4.5541831,0.0000321,-0.0000321,0
1217.01,248092710,PC,41.4856125,0.0004838,-0.0004838,0
1218.01,294781547,PC,13.7738265,0.0000355,-0.0000355,0
1219.01,294981566,PC,1.9142544,0.0000082,-0.0000082,0
122.01,231702397,CP,5.0780325,0.0000076,-0.0000076,0
1220.01,319259194,APC,70.3607265,0.0000694,-0.0000694,0
1221.01,349095149,CP,91.6827832,0.0006448,-0.0006448,0
1222.01,374997123,PC,10.1944993,0.0000237,-0.0000237,0
1223.01,382437043,FP,14.6431900,0.0000387,-0.0000387,0
1224.01,299798795,CP,4.1782656,0.0000052,-0.0000052,0
1224.02,299798795,CP,17.9453645,0.0000305,-0.0000305,0
1225.01,150428703,PC,13.8963960,0.0000539,-0.0000539,0
1225.02,150428703,PC,8.1213102,0.0000271,-0.0000271,0
1226.01,177115354,PC,3.9287851,0.0000097,-0.0000097,0
1227.01,360156606,CP,27.3613778,0.0001022,-0.0001022,0
1228.01,300038935,CP,29.0497517,0.0001337,-0.0001337,0
1229.01,140760434,APC,31.8132264,0.0000404,-0.0000404,0
123.01,290131778,CP,3.3088922,0.0000071,-0.0000071,0
1230.01,287156968,CP,25.0571312,0.0001639,-0.0001639,0
1231.01,447061717,CP,24.2454967,0.0003516,-0.0003516,0
1232.01,364395234,PC,14.2545623,0.0000154,-0.0000154,0
1233.01,260647166,CP,14.1758947,0.0000370,-0.0000370,0
1233.02,260647166,CP,19.5901578,0.0000438,-0.0000438,0
1233.03,260647166,CP,6.2036219,0.0000197,-0.0000197,0
1233.04,260647166,CP,3.7958900,0.0000211,-0.0000211,0
1234.01,90504905,FP,2.2645386,0.0010604,-0.0010604,0
1235.01,103633434,CP,3.4447015,0.0000071,-0.0000071,0
1236.01,120757718,KP,3.0300715,0.0000005,-0.0000005,0
1237.01,120960812,KP,12.7203800,0.0001319,-0.0001319,0
